"","Symbol","imprinted","Type","mono.9....","skew.8....","skew.7....","indeterminate....","bi....","subjects","conflict","FPKM","chip.SNPs","imputed.SNPS","Biased.SNPs..binomial.....","chr","start","end","gene.type","file.size","imprinting.status","seg","cluster","score"
"TMEM25","TMEM25","_","bi",0,0,9.9,46.8,43.3,141,4,25,0,8,"0.00 (0/8)","chr 11",118401755,118417995,"protein_coding",133516,"distant candidate",-23,"inter clus 23",0.0275862068965518
"RMND5B","RMND5B","_","bi",1.9,1.9,7.4,84.2,4.6,108,1,17,0,2,"0.00 (0/2)","chr 5",177557996,177577566,"protein_coding",97273,"distant candidate",-6,"inter clus 6",0.0275229357798165
"SRPK2","SRPK2","_","bi",1.9,0,4.6,32.4,61.1,216,2,162,1,3,"0.00 (0/3)","chr 7",104751150,105039755,"protein_coding",77754,"distant candidate",-13,"inter clus 13",0.0275229357798165
"FAM218A","FAM218A","_","bi",0.9,0.9,10.3,87.9,0,107,2,4,1,3,"0.33 (1/3)","chr 4",165878099,165880273,"protein_coding",89581,"distant candidate",-5,"inter clus 5",0.0275229357798165
"GPR56","GPR56","_","bi",0,0,2.8,63.2,34,106,3,19,2,9,"0.00 (0/9)","chr 16",57644563,57698944,"protein_coding",134245,"distant candidate",-29,"inter clus 29",0.0275229357798165
"RP5-940J5.9","RP5-940J5.9","1 M impr clstr","bi",2.7,0,0.5,0.1,96.7,182,0,10,0,2,"0.00 (0/2)","chr 12",6646959,6647536,"antisense",59650,"nearby candidate",25,"clus 25 (chr 12)",0.0274725274725275
"HOPX","HOPX","_","skew.7 novel",1.1,12.3,38.5,42.5,5.6,179,3,193,0,9,"0.00 (0/9)","chr 4",57514154,57548065,"protein_coding",144425,"distant candidate",-4,"inter clus 4",0.0274725274725275
"ADD2","ADD2","_","bi",0.4,0.4,2.4,17.7,79.1,249,6,56,1,23,"0.00 (0/23)","chr 2",70834749,70995357,"protein_coding",292892,"distant candidate",-2,"inter clus 2",0.0274509803921569
"ATP1B2","ATP1B2","_","bi",0,1.6,5.6,42,50.8,248,7,28,0,4,"0.00 (0/3)","chr 17",7549944,7561086,"protein_coding",127977,"distant candidate",-29,"inter clus 29",0.0274509803921569
"SOWAHC","SOWAHC","_","bi",2.7,4.1,12.3,80.9,0,73,0,2,0,6,"0.00 (0/6)","chr 2",110371910,110376563,"protein_coding",105809,"distant candidate",-3,"inter clus 3",0.0273972602739726
"EMX2OS","EMX2OS","_","bi",2.1,4.1,9.7,74.4,9.7,145,1,17,1,5,"0.00 (0/5)","chr 10",119232725,119304579,"antisense",78532,"distant candidate",-18,"inter clus 18",0.0273972602739726
"PGP","PGP","_","bi",2.1,1.4,10.3,73.8,12.4,145,1,14,2,7,"0.00 (0/7)","chr 16",2261997,2264808,"protein_coding",102279,"distant candidate",-28,"inter clus 28",0.0273972602739726
"ASAH2B","ASAH2B","_","bi",0.7,4.9,15.4,72,7,143,3,3,0,5,"0.00 (0/5)","chr 10",52499077,52576255,"protein_coding",123137,"distant candidate",-18,"inter clus 18",0.0273972602739726
"AGBL4","AGBL4","_","bi",0,7,15.5,76.1,1.4,71,2,16,3,3,"0.00 (0/3)","chr 1",48998526,50489585,"protein_coding",88148,"distant candidate",-1,"inter clus 1",0.0273972602739726
"ELMSAN1","ELMSAN1","_","bi",0,1.4,4.2,91.6,2.8,71,2,8,4,11,"0.00 (0/11)","chr 14",74181824,74256988,"protein_coding",196912,"distant candidate",-26,"inter clus 26",0.0273972602739726
"ACTN2","ACTN2","_","bi",0,0,7,83.1,9.9,71,2,26,5,8,"0.00 (0/8)","chr 1",236849753,236927931,"protein_coding",110282,"distant candidate",-2,"inter clus 2",0.0273972602739726
"SMARCA5","SMARCA5","_","bi",0.9,3.7,11.2,79.5,4.7,107,3,37,1,8,"0.25 (2/8)","chr 4",144434615,144478639,"protein_coding",125392,"distant candidate",-5,"inter clus 5",0.0272727272727272
"C20orf196","C20orf196","_","bi",0.9,3.7,13.9,77.8,3.7,108,2,6,2,4,"0.00 (0/4)","chr 20",5731038,5844558,"protein_coding",70046,"distant candidate",-32,"inter clus 32",0.0272727272727272
"SLC23A2","SLC23A2","_","bi",0.3,2.2,4.7,43.1,49.7,358,9,26,3,13,"0.08 (1/13)","chr 20",4833001,4990939,"protein_coding",181478,"distant candidate",-32,"inter clus 32",0.0272479564032697
"PPIA","PPIA","_","bi",0,0,0,1.4,98.6,143,4,609,0,1,"0.00 (0/1)","chr 7",44836278,44864163,"protein_coding",87929,"distant candidate",-10,"inter clus 10",0.0272108843537415
"ZNF791","ZNF791","_","bi",0.9,0.5,2.8,58,37.8,217,4,22,0,6,"0.17 (1/6)","chr 19",12721731,12742735,"protein_coding",121066,"distant candidate",-31,"inter clus 31",0.0271493212669683
"TBC1D22B","TBC1D22B","_","bi",2.7,1.4,10.8,85.1,0,74,0,4,3,9,"0.00 (0/8)","chr 6",37225547,37300746,"protein_coding",110639,"distant candidate",-7,"inter clus 7",0.027027027027027
"CDKN2AIP","CDKN2AIP","_","bi",2.7,1.4,8.1,74.3,13.5,74,0,11,0,1,"0.00 (0/1)","chr 4",184365743,184369351,"protein_coding",48669,"distant candidate",-5,"inter clus 5",0.027027027027027
"NDNF","NDNF","_","bi",2.7,0,13.5,83.8,0,37,0,2,0,3,"0.00 (0/3)","chr 4",121956767,121994176,"protein_coding",99950,"distant candidate",-5,"inter clus 5",0.027027027027027
"PPP1R26","PPP1R26","_","bi",1.8,1.8,4.5,44.2,47.7,220,2,9,2,16,"0.07 (1/15)","chr 9",138370924,138380739,"protein_coding",182187,"distant candidate",-18,"inter clus 18",0.027027027027027
"GLDC","GLDC","_","bi",1.4,4.1,16.4,76.7,1.4,73,1,6,0,4,"0.00 (0/4)","chr 9",6532463,6645650,"protein_coding",81825,"distant candidate",-18,"inter clus 18",0.027027027027027
"PCNT","PCNT","_","bi",1.4,2.1,8.2,69.5,18.8,292,4,18,10,25,"0.04 (1/25)","chr 21",47744035,47865682,"protein_coding",389019,"distant candidate",-35,"inter clus 35",0.027027027027027
"MAP3K5","MAP3K5","_","bi",0.7,0,1.4,42,55.9,145,3,33,0,1,"0.00 (0/1)","chr 6",136878184,137113656,"protein_coding",64638,"distant candidate",-8,"inter clus 8",0.027027027027027
"POP4","POP4","_","bi",0,5.6,19.4,75,0,72,2,50,2,7,"0.00 (0/7)","chr 19",30094923,30108144,"protein_coding",108882,"distant candidate",-31,"inter clus 31",0.027027027027027
"DMTF1","DMTF1","_","bi",0,4.2,9.7,86.1,0,72,2,71,1,6,"0.00 (0/6)","chr 7",86781676,86825653,"protein_coding",123708,"distant candidate",-12,"inter clus 12",0.027027027027027
"ZNF264","ZNF264","1 M impr clstr","bi",0.5,0.5,4.9,64.4,29.7,182,4,17,0,5,"0.20 (1/5)","chr 19",57702867,57724724,"protein_coding",109752,"nearby candidate",32,"clus 32 (chr 19)",0.0268817204301075
"MCUR1","MCUR1","_","bi",0,2.2,4.7,56.5,36.6,361,11,14,2,16,"0.00 (0/16)","chr 6",13786788,13814800,"protein_coding",195934,"distant candidate",-7,"inter clus 7",0.0268817204301075
"CNIH3","CNIH3","_","bi",2.7,0,4,65.8,27.5,149,0,16,0,1,"0.00 (0/1)","chr 1",224622361,224928251,"protein_coding",64180,"distant candidate",-2,"inter clus 2",0.0268456375838926
"DUSP8","DUSP8","1 M impr clstr","bi",0.7,0,2.7,69.2,27.4,146,3,6,1,8,"0.00 (0/8)","chr 11",1575273,1593150,"protein_coding",102634,"nearby candidate",20,"clus 20 (chr 11)",0.0268456375838926
"AEBP1","AEBP1","_","skew.7 novel",2.7,8.9,22.3,60.7,5.4,112,0,6,1,3,"0.33 (1/3)","chr 7",44143959,44154161,"protein_coding",85370,"distant candidate",-10,"inter clus 10",0.0267857142857143
"AGTPBP1","AGTPBP1","_","bi",2.7,0.9,1.8,57.1,37.5,112,0,90,0,1,"0.00 (0/1)","chr 9",88161454,88356944,"protein_coding",63204,"distant candidate",-18,"inter clus 18",0.0267857142857143
"PWP2","PWP2","_","bi",1.6,0,8.1,66.5,23.8,185,2,15,0,5,"0.00 (0/5)","chr 21",45527170,45551063,"protein_coding",109957,"distant candidate",-35,"inter clus 35",0.0267379679144385
"ACOT2","ACOT2","_","bi",2.7,4,10.7,71.9,10.7,75,0,9,0,2,"0.00 (0/2)","chr 14",74034323,74042357,"protein_coding",65617,"distant candidate",-26,"inter clus 26",0.0266666666666666
"AP001597.1","AP001597.1","_","skew.7 novel",2,9.4,22.1,63.1,3.4,149,1,2,0,7,"0.00 (0/7)","chr 21",27765953,27941571,"antisense",91978,"distant candidate",-35,"inter clus 35",0.0266666666666666
"AC093323.3","AC093323.3","_","bi",1.2,0.8,7.3,44.8,45.9,259,4,11,0,7,"0.00 (0/7)","chr 4",6675177,6677774,"lincRNA",116482,"distant candidate",-4,"inter clus 4",0.0266159695817491
"CPNE4","CPNE4","_","bi",1.8,1.8,5.4,84.8,6.2,112,1,29,1,4,"0.00 (0/4)","chr 3",131252398,132004254,"protein_coding",71419,"distant candidate",-4,"inter clus 4",0.0265486725663717
"SLC8A2","SLC8A2","_","bi",0.9,0,2.7,57.7,38.7,111,2,25,0,5,"0.00 (0/5)","chr 19",47931273,47975425,"protein_coding",113466,"distant candidate",-31,"inter clus 31",0.0265486725663717
"FGF12","FGF12","_","bi",1.3,1.3,5.4,83.3,8.7,149,2,123,4,15,"0.00 (0/15)","chr 3",191857183,192485553,"protein_coding",175840,"distant candidate",-4,"inter clus 4",0.0264900662251656
"DNAJA3","DNAJA3","1 M impr clstr","bi",0.7,0,4.1,62.1,33.1,148,3,24,1,5,"0.00 (0/5)","chr 16",4475805,4506776,"protein_coding",89666,"nearby candidate",29,"clus 29 (chr 16)",0.0264900662251656
"CLVS2","CLVS2","_","bi",0,0.7,10.2,73.5,15.6,147,4,32,1,12,"0.00 (0/12)","chr 6",123317115,123394072,"protein_coding",206622,"distant candidate",-8,"inter clus 8",0.0264900662251656
"FREM2","FREM2","_","skew.7 novel",2.1,8.5,20.7,62.8,5.9,188,1,2,11,17,"0.00 (0/17)","chr 13",39261265,39460074,"protein_coding",207576,"distant candidate",-25,"inter clus 25",0.0264550264550265
"CELF5","CELF5","_","bi",0.5,0,2.2,45.4,51.9,185,4,18,2,10,"0.00 (0/9)","chr 19",3224700,3297074,"protein_coding",145134,"distant candidate",-30,"inter clus 30",0.0264550264550265
"MTMR10","MTMR10","_","bi",0,0,3.6,59.7,36.7,221,6,24,4,9,"0.00 (0/8)","chr 15",31231143,31283810,"protein_coding",143989,"distant candidate",-28,"inter clus 28",0.026431718061674
"EIF5A","EIF5A","_","bi",1.5,1.9,8.8,18.7,69.1,262,3,61,0,1,"0.00 (0/1)","chr 17",7210317,7215774,"protein_coding",56676,"distant candidate",-29,"inter clus 29",0.0264150943396226
"ZC3H7A","ZC3H7A","_","bi",1.5,0.8,6.1,74,17.6,262,3,24,1,4,"0.25 (1/4)","chr 16",11844441,11891123,"protein_coding",77687,"distant candidate",-29,"inter clus 29",0.0264150943396226
"EXD3","EXD3","_","bi",2.6,7.9,2.6,81.6,5.3,38,0,7,4,9,"0.00 (0/9)","chr 9",140201347,140317714,"protein_coding",145622,"distant candidate",-18,"inter clus 18",0.0263157894736842
"PDE5A","PDE5A","_","bi",2.6,5.3,5.3,84.2,2.6,38,0,13,5,13,"0.00 (0/13)","chr 4",120415549,120550146,"protein_coding",146540,"distant candidate",-5,"inter clus 5",0.0263157894736842
"CRTAC1","CRTAC1","_","bi",2.6,2.6,7.9,81.6,5.3,38,0,10,0,3,"0.00 (0/3)","chr 10",99624756,99790585,"protein_coding",63514,"distant candidate",-18,"inter clus 18",0.0263157894736842
"LRWD1","LRWD1","_","bi",2.6,0,5.3,85.5,6.6,76,0,8,2,8,"0.00 (0/8)","chr 7",102105375,102113615,"protein_coding",106957,"distant candidate",-13,"inter clus 13",0.0263157894736842
"CHRNB2","CHRNB2","_","bi",2,1.3,9.3,74.8,12.6,151,1,9,1,10,"0.10 (1/10)","chr 1",154540256,154552502,"protein_coding",140777,"distant candidate",-2,"inter clus 2",0.0263157894736842
"MBOAT2","MBOAT2","_","bi",1.3,1.3,10.7,74,12.7,150,2,49,1,9,"0.00 (0/9)","chr 2",8992819,9143942,"protein_coding",132675,"distant candidate",-2,"inter clus 2",0.0263157894736842
"ZNF430","ZNF430","_","bi",1.3,0,9.3,88.1,1.3,75,1,11,0,3,"0.00 (0/3)","chr 19",21203425,21242856,"protein_coding",73453,"distant candidate",-31,"inter clus 31",0.0263157894736842
"VPS39","VPS39","_","bi",0.7,0,2.7,50.3,46.3,149,3,28,0,4,"0.00 (0/4)","chr 15",42450898,42500514,"protein_coding",102086,"distant candidate",-28,"inter clus 28",0.0263157894736842
"ARPC2","ARPC2","_","skew.7 novel",0,13.5,21.6,64.9,0,37,1,76,1,4,"0.00 (0/4)","chr 2",219081816,219119079,"protein_coding",101199,"distant candidate",-4,"inter clus 4",0.0263157894736842
"GUF1","GUF1","_","bi",0,10.8,10.8,78.4,0,37,1,15,0,5,"0.00 (0/4)","chr 4",44680443,44702943,"protein_coding",95450,"distant candidate",-4,"inter clus 4",0.0263157894736842
"RALYL","RALYL","_","bi",0,8.1,21.6,70.3,0,37,1,58,1,5,"0.00 (0/5)","chr 8",85095021,85834079,"protein_coding",99470,"distant candidate",-15,"inter clus 15",0.0263157894736842
"VSNL1","VSNL1","_","bi",0,5.4,13.5,81.1,0,37,1,968,0,4,"0.00 (0/4)","chr 2",17720392,17838285,"protein_coding",90924,"distant candidate",-2,"inter clus 2",0.0263157894736842
"MYH7B","MYH7B","_","bi",0,2.7,13.5,75.7,8.1,37,1,5,1,5,"0.00 (0/5)","chr 20",33563205,33590240,"protein_coding",90061,"distant candidate",-32,"inter clus 32",0.0263157894736842
"AC005336.4","AC005336.4","_","bi",0,0,18.9,78.4,2.7,37,1,2,1,4,"0.00 (0/4)","chr 19",16021391,16022634,"pseudogene",68461,"distant candidate",-31,"inter clus 31",0.0263157894736842
"TUBGCP4","TUBGCP4","_","bi",1.8,0.4,4.4,63,30.4,227,2,21,1,6,"0.00 (0/6)","chr 15",43661418,43699293,"protein_coding",87062,"distant candidate",-28,"inter clus 28",0.0262008733624454
"ZYG11B","ZYG11B","_","bi",0.9,0,0,25.8,73.3,225,4,51,3,10,"0.00 (0/10)","chr 1",53192125,53293014,"protein_coding",204668,"distant candidate",-1,"inter clus 1",0.0262008733624454
"DHX36","DHX36","_","bi",0.4,4,12.1,74.6,8.9,224,5,54,3,14,"0.00 (0/14)","chr 3",153990334,154042286,"protein_coding",167923,"distant candidate",-4,"inter clus 4",0.0262008733624454
"POLR3D","POLR3D","_","bi",0,0.5,5.4,81.2,12.9,186,5,11,1,13,"0.00 (0/13)","chr 8",22102616,22112113,"protein_coding",165179,"distant candidate",-15,"inter clus 15",0.0261780104712042
"FSTL4","FSTL4","_","bi",2,0.7,6.6,81.5,9.2,152,1,12,4,10,"0.00 (0/10)","chr 5",132532146,132948255,"protein_coding",145101,"distant candidate",-6,"inter clus 6",0.0261437908496732
"FAM84A","FAM84A","_","bi",1.3,2.6,15.9,74.2,6,151,2,21,1,6,"0.00 (0/6)","chr 2",14772809,14789765,"protein_coding",105337,"distant candidate",-2,"inter clus 2",0.0261437908496732
"KCTD17","KCTD17","_","bi",2.6,0.9,4.3,53.1,39.1,115,0,33,0,3,"0.00 (0/3)","chr 22",37447778,37459430,"protein_coding",64723,"distant candidate",-36,"inter clus 36",0.0260869565217391
"CASC15","CASC15","_","bi",0.9,3.5,8,80.5,7.1,113,2,10,3,16,"0.00 (0/16)","chr 6",21665002,22214734,"lincRNA",191853,"distant candidate",-7,"inter clus 7",0.0260869565217391
"HERC4","HERC4","_","bi",0.9,3.5,17.7,76.1,1.8,113,2,50,1,10,"0.00 (0/10)","chr 10",69681664,69835105,"protein_coding",141778,"distant candidate",-18,"inter clus 18",0.0260869565217391
"NR3C2","NR3C2","_","bi",0.9,0.9,1.8,53.9,42.5,113,2,14,4,5,"0.00 (0/5)","chr 4",148999912,149365850,"protein_coding",109788,"distant candidate",-5,"inter clus 5",0.0260869565217391
"SLC39A6","SLC39A6","_","bi",1.6,0.5,2.6,67.9,27.4,190,2,27,2,3,"0.00 (0/3)","chr 18",33688494,33709348,"protein_coding",79780,"distant candidate",-29,"inter clus 29",0.0260416666666666
"ZNF766","ZNF766","_","bi",2.6,1.3,10.4,79.2,6.5,77,0,8,2,5,"0.00 (0/5)","chr 19",52772823,52795977,"protein_coding",101497,"distant candidate",-31,"inter clus 31",0.025974025974026
"LPCAT1","LPCAT1","_","bi",1.7,0.9,6.1,35.4,55.9,229,2,14,1,8,"0.00 (0/8)","chr 5",1456594,1524092,"protein_coding",118470,"distant candidate",-5,"inter clus 5",0.025974025974026
"ACOT11","ACOT11","_","bi",0.7,2,9.3,76.1,11.9,151,3,7,3,17,"0.00 (0/17)","chr 1",55007929,55104865,"protein_coding",209073,"distant candidate",-1,"inter clus 1",0.025974025974026
"TMEM192","TMEM192","_","bi",0,0,16,82.7,1.3,75,2,12,0,10,"0.00 (0/10)","chr 4",165995573,166129701,"protein_coding",155516,"distant candidate",-5,"inter clus 5",0.025974025974026
"RAP1GAP","RAP1GAP","_","bi",0,0,1.3,52,46.7,75,2,36,0,5,"0.00 (0/5)","chr 1",21922707,21995801,"protein_coding",110331,"distant candidate",-1,"inter clus 1",0.025974025974026
"RP11-482H16.1","RP11-482H16.1","_","bi",1.6,0,2.6,40.3,55.5,191,2,14,1,2,"0.00 (0/2)","chr 2",56374764,56613306,"processed_transcript",64904,"distant candidate",-2,"inter clus 2",0.0259067357512953
"ACN9","ACN9","1 M impr clstr","bi",1.1,1.5,5.2,60.4,31.8,267,4,24,0,2,"0.00 (0/2)","chr 7",96745901,96811075,"protein_coding",65094,"nearby candidate",13,"clus 13 (chr 7)",0.025830258302583
"TRAK2","TRAK2","_","bi",1.9,0.6,4.5,79.4,13.6,154,1,27,0,2,"0.00 (0/2)","chr 2",202241929,202316302,"protein_coding",112562,"distant candidate",-3,"inter clus 3",0.0258064516129032
"C2CD2","C2CD2","_","bi",0,4,9.3,82.1,4.6,151,4,13,4,11,"0.00 (0/10)","chr 21",43305220,43373999,"protein_coding",264901,"distant candidate",-35,"inter clus 35",0.0258064516129032
"ZNF839","ZNF839","_","bi",0,2.6,6.6,84.8,6,151,4,7,2,5,"0.00 (0/5)","chr 14",102783713,102809044,"protein_coding",108289,"distant candidate",-27,"inter clus 27",0.0258064516129032
"ZNF814","ZNF814","_","skew.7 novel",0.5,5.3,24.7,67.9,1.6,190,4,15,1,22,"0.05 (1/22)","chr 19",58360098,58400442,"protein_coding",278605,"distant candidate",-32,"inter clus 32",0.0257731958762887
"ZNF805","ZNF805","1 M impr clstr","skew.8 novel",2.6,30.8,30.8,35.8,0,39,0,10,0,1,"1.00 (1/1)","chr 19",57751972,57766503,"protein_coding",79665,"nearby candidate",32,"clus 32 (chr 19)",0.0256410256410257
"LIME1","LIME1","_","bi",2.6,7.7,17.9,71.8,0,39,0,4,0,3,"0.00 (0/3)","chr 20",62366814,62370456,"protein_coding",65767,"distant candidate",-35,"inter clus 35",0.0256410256410257
"CKMT2-AS1","CKMT2-AS1","_","skew.7 novel",2.6,7.7,25.6,64.1,0,39,0,7,0,3,"0.00 (0/3)","chr 5",80499902,80597379,"antisense",62260,"distant candidate",-5,"inter clus 5",0.0256410256410257
"MTHFD1L","MTHFD1L","_","skew.7 novel",2.6,5.1,25.6,66.7,0,39,0,10,1,4,"0.25 (1/4)","chr 6",151186684,151423023,"protein_coding",82320,"distant candidate",-9,"inter clus 9",0.0256410256410257
"LRRN1","LRRN1","_","bi",2.6,2.6,12.8,82,0,39,0,8,3,9,"0.00 (0/9)","chr 3",3841120,3889387,"protein_coding",129606,"distant candidate",-4,"inter clus 4",0.0256410256410257
"GAREML","GAREML","_","bi",2.6,2.6,10.3,81.9,2.6,39,0,4,2,5,"0.00 (0/5)","chr 2",26395959,26412532,"protein_coding",84956,"distant candidate",-2,"inter clus 2",0.0256410256410257
"ZNF727","ZNF727","_","bi",2.6,2.6,5.1,79.4,10.3,39,0,4,0,2,"0.00 (0/2)","chr 7",63505820,63538927,"protein_coding",55954,"distant candidate",-11,"inter clus 11",0.0256410256410257
"UBAP2L","UBAP2L","_","bi",2.6,2.6,20.5,74.3,0,39,0,24,1,2,"0.00 (0/2)","chr 1",154192654,154243986,"protein_coding",63687,"distant candidate",-2,"inter clus 2",0.0256410256410257
"BZW2","BZW2","_","bi",2.6,1.3,5.1,80.7,10.3,78,0,18,0,3,"0.00 (0/3)","chr 7",16685755,16746148,"protein_coding",80005,"distant candidate",-10,"inter clus 10",0.0256410256410257
"VSTM2L","VSTM2L","1 M impr clstr","bi",2.6,1.3,2.6,69.1,24.4,78,0,21,0,2,"0.00 (0/2)","chr 20",36531498,36573752,"protein_coding",81361,"nearby candidate",33,"clus 33 (chr 20)",0.0256410256410257
"LCP1","LCP1","_","bi",1.7,2.6,12.1,72.4,11.2,116,1,7,1,4,"0.00 (0/4)","chr 13",46700054,46786006,"protein_coding",84235,"distant candidate",-25,"inter clus 25",0.0256410256410257
"TMEM18","TMEM18","_","bi",1.3,0,9.1,87,2.6,77,1,23,2,4,"0.00 (0/4)","chr 2",667334,677439,"protein_coding",78655,"distant candidate",-2,"inter clus 2",0.0256410256410257
"C1orf109","C1orf109","_","bi",1.3,0,2.6,83.1,13,77,1,19,0,4,"0.00 (0/4)","chr 1",38147241,38157914,"protein_coding",99320,"distant candidate",-1,"inter clus 1",0.0256410256410257
"GRM7","GRM7","_","bi",1.1,0.7,4.5,75.1,18.6,269,4,40,2,5,"0.00 (0/4)","chr 3",6811687,7783215,"protein_coding",122629,"distant candidate",-4,"inter clus 4",0.0256410256410257
"AC005154.6","AC005154.6","_","bi",0.5,2.6,14.1,70.2,12.6,191,4,55,1,23,"0.00 (0/23)","chr 7",30555924,30634425,"lincRNA",255627,"distant candidate",-10,"inter clus 10",0.0256410256410257
"BCDIN3D-AS1","BCDIN3D-AS1","_","bi",0,5.3,5.3,89.4,0,38,1,3,1,5,"0.00 (0/5)","chr 12",50222324,50234926,"antisense",92305,"distant candidate",-25,"inter clus 25",0.0256410256410257
"NPEPPS","NPEPPS","_","bi",0,2.6,10.5,86.9,0,38,1,81,0,2,"0.00 (0/2)","chr 17",45600307,45700642,"protein_coding",98667,"distant candidate",-29,"inter clus 29",0.0256410256410257
"ITPRIPL2","ITPRIPL2","_","bi",0,2.6,18.4,63.2,15.8,38,1,3,0,7,"0.00 (0/7)","chr 16",19125253,19132946,"protein_coding",116848,"distant candidate",-29,"inter clus 29",0.0256410256410257
"TBC1D20","TBC1D20","_","bi",0,1.3,10.5,84.3,3.9,76,2,10,2,4,"0.00 (0/4)","chr 20",416123,443197,"protein_coding",85324,"distant candidate",-32,"inter clus 32",0.0256410256410257
"MOB1A","MOB1A","_","bi",0,0,4.4,69.3,26.3,114,3,23,0,6,"0.00 (0/6)","chr 2",74379654,74406025,"protein_coding",118391,"distant candidate",-2,"inter clus 2",0.0256410256410257
"KANK1","KANK1","_","bi",0.3,0,6.9,64.4,28.4,306,7,15,4,21,"0.00 (0/21)","chr 9",470290,746105,"protein_coding",276904,"distant candidate",-17,"inter clus 17",0.0255591054313099
"PPM1K","PPM1K","1 M impr clstr","bi",0,6.1,14.4,45.9,33.6,229,6,86,1,5,"0.00 (0/5)","chr 4",89178771,89205921,"protein_coding",90451,"nearby candidate",5,"clus 5 (chr 4)",0.0255319148936171
"PRKCG","PRKCG","1 M impr clstr","bi",2.5,1.3,3.8,78.4,14,157,0,11,1,3,"0.00 (0/3)","chr 19",54382443,54410906,"protein_coding",80341,"nearby candidate",32,"clus 32 (chr 19)",0.0254777070063694
"SLC2A1","SLC2A1","_","bi",1.3,0,0.6,22,76.1,155,2,24,1,3,"0.00 (0/3)","chr 1",43391051,43424530,"protein_coding",81260,"distant candidate",-1,"inter clus 1",0.0254777070063694
"RNF216P1","RNF216P1","_","bi",0.6,3.2,18.2,74.8,3.2,154,3,16,2,15,"0.00 (0/15)","chr 7",5013618,5080306,"pseudogene",157605,"distant candidate",-10,"inter clus 10",0.0254777070063694
"PHF20","PHF20","_","bi",0.6,0,3.2,72.8,23.4,154,3,33,1,6,"0.00 (0/6)","chr 20",34359895,34538303,"protein_coding",104121,"distant candidate",-32,"inter clus 32",0.0254777070063694
"CBR1","CBR1","_","bi",1.7,0.9,5.1,17.9,74.4,117,1,68,2,3,"0.00 (0/3)","chr 21",37442238,37445464,"protein_coding",79461,"distant candidate",-35,"inter clus 35",0.0254237288135594
"FAM8A1","FAM8A1","_","bi",1.7,0,1.7,14.5,82.1,117,1,29,0,2,"0.00 (0/2)","chr 6",17600585,17611950,"protein_coding",95860,"distant candidate",-7,"inter clus 7",0.0254237288135594
"ESYT2","ESYT2","_","bi",0.9,1.7,5.2,50,42.2,116,2,37,10,27,"0.00 (0/27)","chr 7",158523685,158622944,"protein_coding",332242,"distant candidate",-14,"inter clus 14",0.0254237288135594
"PDXDC1","PDXDC1","_","bi",0.4,1.7,6.5,48.1,43.3,231,5,28,3,10,"0.11 (1/9)","chr 16",15068447,15233196,"protein_coding",160649,"distant candidate",-29,"inter clus 29",0.0254237288135594
"ARHGEF18","ARHGEF18","_","bi",1,1.6,5.8,59.7,31.9,310,5,10,1,13,"0.00 (0/13)","chr 19",7459998,7537363,"protein_coding",148426,"distant candidate",-30,"inter clus 30",0.0253968253968254
"PI4KA","PI4KA","1 M impr clstr","bi",1.5,0.5,5.6,56,36.4,195,2,75,1,4,"0.00 (0/4)","chr 22",21061978,21213705,"protein_coding",101512,"nearby candidate",36,"clus 36 (chr 22)",0.0253807106598984
"RP11-119H12.4","RP11-119H12.4","_","bi",2.5,0,7.6,77.2,12.7,79,0,7,0,1,"0.00 (0/1)","chr 4",113747462,113748763,"pseudogene",75671,"distant candidate",-5,"inter clus 5",0.0253164556962026
"ICAM5","ICAM5","1 M impr clstr","bi",1.3,3.8,3.8,60.3,30.8,78,1,18,0,2,"0.00 (0/2)","chr 19",10400656,10407454,"protein_coding",72811,"nearby candidate",31,"clus 31 (chr 19)",0.0253164556962026
"ARPP21","ARPP21","_","bi",1.3,2.6,5.1,88.4,2.6,78,1,114,1,5,"0.00 (0/5)","chr 3",35680436,35835988,"protein_coding",95000,"distant candidate",-4,"inter clus 4",0.0253164556962026
"PNKD","PNKD","_","bi",1.3,1.3,3.8,69.2,24.4,78,1,57,1,5,"0.00 (0/5)","chr 2",219135114,219211516,"protein_coding",99570,"distant candidate",-4,"inter clus 4",0.0253164556962026
"ENC1","ENC1","_","bi",1.3,0,0,0.6,98.1,156,2,289,1,3,"0.00 (0/3)","chr 5",73923233,73937249,"protein_coding",98385,"distant candidate",-5,"inter clus 5",0.0253164556962026
"TBC1D2B","TBC1D2B","_","bi",0.6,3.2,10.3,80.7,5.2,155,3,8,0,8,"0.25 (2/8)","chr 15",78276377,78370066,"protein_coding",139945,"distant candidate",-28,"inter clus 28",0.0253164556962026
"RAB33B","RAB33B","_","bi",0,0,9.1,84.4,6.5,77,2,8,2,5,"0.00 (0/5)","chr 4",140374385,140397763,"protein_coding",86516,"distant candidate",-5,"inter clus 5",0.0253164556962026
"WDR18","WDR18","_","bi",2.2,2.5,13.4,55.8,26.1,276,1,10,2,9,"0.00 (0/9)","chr 19",983173,994569,"protein_coding",123350,"distant candidate",-30,"inter clus 30",0.0252707581227437
"PLSCR4","PLSCR4","_","bi",1,1.6,2.6,48,46.8,312,5,26,4,10,"0.00 (0/10)","chr 3",145910125,145968966,"protein_coding",133927,"distant candidate",-4,"inter clus 4",0.0252365930599369
